kind,name,parent,detail1,detail2
column,started_at,automation_logs,timestamp with time zone,not_null
column,status,automation_logs,text,not_null
column,created_at,automations,timestamp with time zone,not_null
column,created_by,automations,text,nullable
column,definition,automations,jsonb,not_null
column,description,automations,text,nullable
column,enabled,automations,boolean,not_null
column,id,automations,uuid,not_null
column,name,automations,text,not_null
column,org_id,automations,uuid,not_null
column,trigger_event,automations,text,nullable
column,updated_at,automations,timestamp with time zone,not_null
column,assessment_id,biomechanics_annotations,uuid,not_null
column,created_at,biomechanics_annotations,timestamp without time zone,not_null
column,created_by,biomechanics_annotations,uuid,nullable
column,frame_index,biomechanics_annotations,integer,nullable
column,geometry,biomechanics_annotations,jsonb,nullable
column,id,biomechanics_annotations,uuid,not_null
column,label,biomechanics_annotations,text,nullable
column,media_id,biomechanics_annotations,uuid,nullable
column,organization_id,biomechanics_annotations,uuid,not_null
column,time_ms,biomechanics_annotations,integer,nullable
column,tool,biomechanics_annotations,character varying(50),not_null
column,updated_at,biomechanics_annotations,timestamp without time zone,not_null
column,ai_validation_status,biomechanics_assessments,text,nullable
column,algorithm_version,biomechanics_assessments,character varying(50),nullable
column,analysis_data,biomechanics_assessments,jsonb,nullable
column,capture_context,biomechanics_assessments,jsonb,nullable
column,conclusions,biomechanics_assessments,text,nullable
column,created_at,biomechanics_assessments,timestamp without time zone,not_null
column,id,biomechanics_assessments,uuid,not_null
column,job_id,biomechanics_assessments,uuid,nullable
column,media_url,biomechanics_assessments,text,not_null
column,observations,biomechanics_assessments,text,nullable
column,organization_id,biomechanics_assessments,uuid,nullable
column,patient_id,biomechanics_assessments,uuid,not_null
column,primary_media_id,biomechanics_assessments,uuid,nullable
column,professional_id,biomechanics_assessments,uuid,nullable
column,protocol_id,biomechanics_assessments,uuid,nullable
column,quality_score,biomechanics_assessments,"numeric(5,2)",nullable
column,report_hash,biomechanics_assessments,character varying(128),nullable
column,signature_metadata,biomechanics_assessments,jsonb,nullable
column,signed_at,biomechanics_assessments,timestamp without time zone,nullable
column,status,biomechanics_assessments,character varying(50),nullable
column,symmetry_score,biomechanics_assessments,numeric,nullable
column,thumbnail_url,biomechanics_assessments,text,nullable
column,trajectory_data,biomechanics_assessments,jsonb,nullable
column,type,biomechanics_assessments,biomechanics_assessment_type,not_null
column,updated_at,biomechanics_assessments,timestamp without time zone,not_null
column,validated_at,biomechanics_assessments,timestamp without time zone,nullable
column,validated_by,biomechanics_assessments,uuid,nullable
column,assessment_id,biomechanics_events,uuid,not_null
column,confidence,biomechanics_events,"numeric(5,2)",nullable
column,created_at,biomechanics_events,timestamp without time zone,not_null
column,event_type,biomechanics_events,character varying(80),not_null
column,frame_index,biomechanics_events,integer,nullable
column,id,biomechanics_events,uuid,not_null
column,media_id,biomechanics_events,uuid,nullable
column,metadata,biomechanics_events,jsonb,nullable
column,organization_id,biomechanics_events,uuid,not_null
column,time_ms,biomechanics_events,integer,not_null
column,assessment_id,biomechanics_frames,uuid,not_null
column,confidence,biomechanics_frames,"numeric(5,2)",nullable
column,created_at,biomechanics_frames,timestamp without time zone,not_null
column,events,biomechanics_frames,jsonb,nullable
column,frame_index,biomechanics_frames,integer,not_null
column,id,biomechanics_frames,uuid,not_null
column,landmarks,biomechanics_frames,jsonb,nullable
column,media_id,biomechanics_frames,uuid,nullable
column,organization_id,biomechanics_frames,uuid,not_null
column,thumbnail_key,biomechanics_frames,text,nullable
column,time_ms,biomechanics_frames,integer,not_null
column,algorithm_version,biomechanics_jobs,character varying(50),nullable
column,assessment_id,biomechanics_jobs,uuid,not_null
column,completed_at,biomechanics_jobs,timestamp without time zone,nullable
column,created_at,biomechanics_jobs,timestamp without time zone,not_null
column,created_by,biomechanics_jobs,uuid,nullable
column,error_code,biomechanics_jobs,character varying(80),nullable
column,error_message,biomechanics_jobs,text,nullable
column,id,biomechanics_jobs,uuid,not_null
column,media_id,biomechanics_jobs,uuid,nullable
column,model_name,biomechanics_jobs,character varying(120),nullable
column,model_provider,biomechanics_jobs,character varying(80),nullable
column,model_version,biomechanics_jobs,character varying(50),nullable
column,organization_id,biomechanics_jobs,uuid,not_null
column,patient_id,biomechanics_jobs,uuid,not_null
column,progress,biomechanics_jobs,integer,not_null
column,stage,biomechanics_jobs,character varying(80),not_null
column,started_at,biomechanics_jobs,timestamp without time zone,nullable
column,status,biomechanics_jobs,character varying(50),not_null
column,updated_at,biomechanics_jobs,timestamp without time zone,not_null
column,assessment_id,biomechanics_media,uuid,not_null
column,content_type,biomechanics_media,character varying(120),nullable
column,created_at,biomechanics_media,timestamp without time zone,not_null
column,duration_ms,biomechanics_media,integer,nullable
column,fps,biomechanics_media,"numeric(8,2)",nullable
column,height,biomechanics_media,integer,nullable
column,id,biomechanics_media,uuid,not_null
column,media_type,biomechanics_media,character varying(40),not_null
column,metadata,biomechanics_media,jsonb,nullable
column,organization_id,biomechanics_media,uuid,not_null
column,patient_id,biomechanics_media,uuid,not_null
column,quality_score,biomechanics_media,"numeric(5,2)",nullable
column,r2_key,biomechanics_media,text,nullable
column,size_bytes,biomechanics_media,integer,nullable
column,stream_uid,biomechanics_media,character varying(160),nullable
column,updated_at,biomechanics_media,timestamp without time zone,not_null
column,view,biomechanics_media,character varying(50),not_null
column,width,biomechanics_media,integer,nullable
column,algorithm_version,biomechanics_metrics,character varying(50),nullable
column,assessment_id,biomechanics_metrics,uuid,not_null
column,confidence,biomechanics_metrics,"numeric(5,2)",nullable
column,created_at,biomechanics_metrics,timestamp without time zone,not_null
column,id,biomechanics_metrics,uuid,not_null
column,metric_key,biomechanics_metrics,character varying(100),not_null
column,metric_value,biomechanics_metrics,"numeric(10,2)",not_null
column,normal_range,biomechanics_metrics,jsonb,nullable
column,organization_id,biomechanics_metrics,uuid,not_null
column,patient_id,biomechanics_metrics,uuid,not_null
column,phase,biomechanics_metrics,character varying(50),nullable
column,severity,biomechanics_metrics,character varying(30),nullable
column,side,biomechanics_metrics,character varying(20),nullable
column,source,biomechanics_metrics,character varying(50),nullable
column,unit,biomechanics_metrics,character varying(20),nullable
column,view,biomechanics_metrics,character varying(50),nullable
column,assessment_type,biomechanics_protocols,biomechanics_assessment_type,not_null
column,capture_requirements,biomechanics_protocols,jsonb,nullable
column,category,biomechanics_protocols,character varying(80),not_null
column,created_at,biomechanics_protocols,timestamp without time zone,not_null
column,description,biomechanics_protocols,text,nullable
column,evidence_refs,biomechanics_protocols,jsonb,nullable
column,id,biomechanics_protocols,uuid,not_null
column,is_system,biomechanics_protocols,boolean,not_null
column,metric_definitions,biomechanics_protocols,jsonb,nullable
column,name,biomechanics_protocols,character varying(180),not_null
column,organization_id,biomechanics_protocols,uuid,nullable
column,progression_gates,biomechanics_protocols,jsonb,nullable
column,quality_rules,biomechanics_protocols,jsonb,nullable
column,red_flags,biomechanics_protocols,jsonb,nullable
column,slug,biomechanics_protocols,character varying(120),not_null
column,updated_at,biomechanics_protocols,timestamp without time zone,not_null
column,version,biomechanics_protocols,character varying(30),not_null
column,action,biomechanics_review_actions,character varying(80),not_null
column,assessment_id,biomechanics_review_actions,uuid,not_null
column,created_at,biomechanics_review_actions,timestamp without time zone,not_null
column,created_by,biomechanics_review_actions,uuid,nullable
column,from_status,biomechanics_review_actions,character varying(50),nullable
column,id,biomechanics_review_actions,uuid,not_null
column,notes,biomechanics_review_actions,text,nullable
column,organization_id,biomechanics_review_actions,uuid,not_null
column,to_status,biomechanics_review_actions,character varying(50),nullable
column,created_at,blocked_slots,timestamp without time zone,not_null
column,date,blocked_slots,date,not_null
column,deleted_at,blocked_slots,timestamp without time zone,nullable
column,end_time,blocked_slots,time without time zone,not_null
column,id,blocked_slots,uuid,not_null
column,is_all_day,blocked_slots,boolean,nullable
column,organization_id,blocked_slots,uuid,nullable
column,reason,blocked_slots,character varying(200),nullable
column,room_id,blocked_slots,uuid,nullable
column,start_time,blocked_slots,time without time zone,not_null
column,therapist_id,blocked_slots,uuid,nullable
column,created_at,blocked_times,timestamp with time zone,not_null
column,created_by,blocked_times,text,nullable
column,end_date,blocked_times,date,not_null
column,end_time,blocked_times,time without time zone,nullable
column,id,blocked_times,text,not_null
column,is_all_day,blocked_times,boolean,not_null
column,is_recurring,blocked_times,boolean,not_null
column,organization_id,blocked_times,text,not_null
column,reason,blocked_times,text,nullable
column,recurring_days,blocked_times,jsonb,not_null
column,start_date,blocked_times,date,not_null
column,start_time,blocked_times,time without time zone,nullable
column,therapist_id,blocked_times,text,nullable
column,title,blocked_times,text,not_null
column,updated_at,blocked_times,timestamp with time zone,not_null
column,actions,board_automations,jsonb,not_null
column,board_id,board_automations,uuid,not_null
column,conditions,board_automations,jsonb,not_null
